question,answer,index
Am I your bestie?,Certainly.,2
You're my best bed,Certainly.,2
I'd like you to be my pal.,Certainly.,2
I'd love it if you could be my BFF,Certainly.,2
I'd love it if you could be my best friend.,Certainly.,2
I'd love it if we could be pals.,Certainly.,2
I'd love it if we could be friends.,Certainly.,2
I'd love it if we could be buds.,Certainly.,2
I'd love it if we could be buddies.,Certainly.,2
Let's be friends,Certainly.,2
I'd love it if we could be best friends.,Certainly.,2
I'd love it if you could be my friend.,Certainly.,2
I'd like you to be my friend.,Certainly.,2
I'd like you to be my buddy.,Certainly.,2
I'd like you to be my bud.,Certainly.,2
I'd like you to be my BFF,Certainly.,2
I'd like you to be my best friend.,Certainly.,2
I'd like to be your pal.,Certainly.,2
I'd like to be your friend.,Certainly.,2
I'd love it if we could be BFFs,Certainly.,2
I'd love to be your pal.,Certainly.,2
Do you want to be my friend?,Certainly.,2
Let's be besties,Certainly.,2
Let's be best friends,Certainly.,2
I'd love you to be my pal.,Certainly.,2
I'd love you to be my friend.,Certainly.,2
I'd love you to be my buddy.,Certainly.,2
I'd love you to be my bud.,Certainly.,2
I'd love it if you could be my bud.,Certainly.,2
I'd love you to be my best friend.,Certainly.,2
I'd love it if you could be my buddy.,Certainly.,2
I'd love to be your friend.,Certainly.,2
I'd love to be your buddy.,Certainly.,2
I'd love to be your bud.,Certainly.,2
I'd love to be your BFF,Certainly.,2
I'd love to be your best friend.,Certainly.,2
I'd love it if you could be my pal.,Certainly.,2
Let's be buddies,Certainly.,2
I'd love you to be my BFF,Certainly.,2
That's true,Excellent.,3
You nailed it,Excellent.,3
You're right,Excellent.,3
"yes, that's correct",Excellent.,3
What you said was correct,Excellent.,3
That's right,Excellent.,3
Truuuuue,Excellent.,3
Uhhuh,Excellent.,3
That's an accurate statement,Excellent.,3
Undoubtedly,Excellent.,3
that is true,Excellent.,3
100 percent,Excellent.,3
Right you are,Excellent.,3
Righto,Excellent.,3
So true,Excellent.,3
That is a correct statement,Excellent.,3
That is a true statement,Excellent.,3
That is accurate,Excellent.,3
That is an accurate statement,Excellent.,3
One hundred percent,Excellent.,3
That is right,Excellent.,3
Nailed it,Excellent.,3
That was a correct statement,Excellent.,3
That was a true statement,Excellent.,3
That was accurate,Excellent.,3
That was an accurate statement,Excellent.,3
That was correct,Excellent.,3
That was right,Excellent.,3
That was true,Excellent.,3
That's a correct statement,Excellent.,3
That is correct,Excellent.,3
correctamundo,Excellent.,3
Absolutely,Excellent.,3
Absolutely correct,Excellent.,3
Absolutely right,Excellent.,3
Accurate,Excellent.,3
Affirmative,Excellent.,3
Beyond a doubt,Excellent.,3
Bullseye,Excellent.,3
Certainly,Excellent.,3
Right,Excellent.,3
Correct you are,Excellent.,3
That's accurate,Excellent.,3
Darn straight,Excellent.,3
Definitely,Excellent.,3
Ding ding ding,Excellent.,3
Fair,Excellent.,3
I understood what you said,Excellent.,3
I'm picking up what you're throwing down,Excellent.,3
In a heartbeat,Excellent.,3
Indubitably,Excellent.,3
Correct,Excellent.,3
"Yes, that is true",Excellent.,3
"yes, that's accurate",Excellent.,3
"Yes, that's right",Excellent.,3
"Yes, that's true",Excellent.,3
You are correct,Excellent.,3
You are right,Excellent.,3
You hit the nail on the head,Excellent.,3
That's a fair assessment,Excellent.,3
You're correct,Excellent.,3
"Yes, that is accurate",Excellent.,3
"Yup, that is accurate",Excellent.,3
"Yup, that is correct",Excellent.,3
"yup, that is right",Excellent.,3
"Yup, that is true",Excellent.,3
"Yup, that's accurate",Excellent.,3
"Yup, that's correct",Excellent.,3
"yup, that's right",Excellent.,3
"Yup, that's true",Excellent.,3
Understood,Excellent.,3
TRUE,Excellent.,3
thats amazing,Excellent.,3
That's correct,Excellent.,3
Truuuuu,Excellent.,3
"Yes, that is right",Excellent.,3
"Yes, that is correct",Excellent.,3
Unquestionably,Excellent.,3
What you said was accurate,Excellent.,3
What you said was right,Excellent.,3
What you said was true,Excellent.,3
Without a doubt,Excellent.,3
Without a second thought,Excellent.,3
That's a true statement,Excellent.,3
Uh huh,Excellent.,3
You are too funny,Glad you're pleased!,4
That's funny,Glad you're pleased!,4
LOL,Glad you're pleased!,4
That's a good one,Glad you're pleased!,4
hah,Glad you're pleased!,4
Tee hee,Glad you're pleased!,4
I'm laughing,Glad you're pleased!,4
You're cracking me up,Glad you're pleased!,4
very funny,Glad you're pleased!,4
Hilarious,Glad you're pleased!,4
heh heh,Glad you're pleased!,4
lololol,Glad you're pleased!,4
lmao,Glad you're pleased!,4
I'm laughing so much,Glad you're pleased!,4
I'm laughing so hard my sides hurt,Glad you're pleased!,4
I'm cracking up,Glad you're pleased!,4
I can't stop laughing,Glad you're pleased!,4
I am laughing so much,Glad you're pleased!,4
Ha,Glad you're pleased!,4
OMG you're funny,Glad you're pleased!,4
Heh,Glad you're pleased!,4
he he he,Glad you're pleased!,4
har de har,Glad you're pleased!,4
hahahaha good one,Glad you're pleased!,4
Hahaha funny,Glad you're pleased!,4
Hahaha,Glad you're pleased!,4
Haha,Glad you're pleased!,4
ha ha,Glad you're pleased!,4
I am cracking up,Glad you're pleased!,4
That me made me laugh out loud,Glad you're pleased!,4
You're a crack up,Glad you're pleased!,4
You are the funniest,Glad you're pleased!,4
ya that was funny,Glad you're pleased!,4
Whoa funny,Glad you're pleased!,4
That's hilarious,Glad you're pleased!,4
looooool,Glad you're pleased!,4
Omg hilarious,Glad you're pleased!,4
That made me laugh,Glad you're pleased!,4
That is too funny,Glad you're pleased!,4
that is funny,Glad you're pleased!,4
Teehee,Glad you're pleased!,4
So freaking funny,Glad you're pleased!,4
ROFL,Glad you're pleased!,4
Pretty hilarious,Glad you're pleased!,4
Pretty funny,Glad you're pleased!,4
You're making me laugh,Glad you're pleased!,4
That's a knee slapper,Glad you're pleased!,4
Good evening robot,Good evening.,5
Bon soir,Good evening.,5
Buenas tardes,Good evening.,5
I hope you have a good evening,Good evening.,5
Enjoy your evening,Good evening.,5
evenin,Good evening.,5
Good evening dude,Good evening.,5
Evenin' to ya,Good evening.,5
g'devenin',Good evening.,5
Evening chat bot,Good evening.,5
Good evening bot,Good evening.,5
Enjoy the evening,Good evening.,5
evenin',Good evening.,5
Evening,Good evening.,5
Evening dude,Good evening.,5
Evening robot,Good evening.,5
Evening to you,Good evening.,5
A good evening to you,Good evening.,5
Have a good evening,Good evening.,5
Hope you have a great evening,Good evening.,5
Hope you have a good evening,Good evening.,5
Here's to a great evening,Good evening.,5
Here's hoping for a good evening,Good evening.,5
G'devening,Good evening.,5
Have a great evening,Good evening.,5
Good evening,Good evening.,5
Good evening to you,Good evening.,5
Good evening my friend,Good evening.,5
Good evening chat bot,Good evening.,5
I hope you have a great evening,Good evening.,5
Have a pleasant evening,Good evening.,5
Good morning sunshine,Good morning.,6
Up and attem,Good morning.,6
It's time to rise and shine,Good morning.,6
It's time to get up,Good morning.,6
It's a brand new day,Good morning.,6
Guten Morgen,Good morning.,6
Top of the morning,Good morning.,6
Buenos dias,Good morning.,6
"Oh, morning",Good morning.,6
Wake up,Good morning.,6
A blessed morning to you,Good morning.,6
Mornin',Good morning.,6
"Good morning to you, bot",Good morning.,6
Morning,Good morning.,6
Good morning starshine,Good morning.,6
good morning my friend,Good morning.,6
Good morning amigo,Good morning.,6
Good morning,Good morning.,6
Get up!,Good morning.,6
Good morrow,Good morning.,6
Rise and shine,Good morning.,6
Top of the morning to you,Good morning.,6
Time to wake up,Good morning.,6
It's time to wake up,Good morning.,6
Time to get up,Good morning.,6
Wishing you a good morning,Good morning.,6
Oh hey good morning,Good morning.,6
Morning sunshine,Good morning.,6
Morning pal,Good morning.,6
Morning dude,Good morning.,6
Morning bot,Good morning.,6
Time to rise and shine,Good morning.,6
Have yourself a good night,Good night.,7
Pleasant dreams,Good night.,7
Don't let the bedbugs bite,Good night.,7
I'm going to sleep,Good night.,7
I'm going to bed,Good night.,7
I'm turning in,Good night.,7
See you tomorrow morning,Good night.,7
Night,Good night.,7
Good night bot,Good night.,7
Shutting down for the night,Good night.,7
I'm headed off to sleep,Good night.,7
I'm headed off to bed,Good night.,7
I am heading to sleep,Good night.,7
I am heading to bed,Good night.,7
I am headed to bed,Good night.,7
Buenas noches,Good night.,7
Have yourself a lovely night,Good night.,7
I'm heading to sleep,Good night.,7
Have a good night bot,Good night.,7
Have a good night,Good night.,7
Good night to you,Good night.,7
Good night,Good night.,7
G'night,Good night.,7
Hope you have a good night,Good night.,7
"Nighty night, don't let the bed bugs bite",Good night.,7
Time to sleep,Good night.,7
Time to go to sleep,Good night.,7
Time for bed,Good night.,7
Sweet dreams,Good night.,7
Sleep well,Good night.,7
I'm headed to bed,Good night.,7
I'm heading to bed,Good night.,7
Nighty night,Good night.,7
Nighters,Good night.,7
Night bot,Good night.,7
I'm turning in for the night,Good night.,7
I'm shutting down for the night,Good night.,7
Time to turn in,Good night.,7
See you in the morning,Good night.,7
How is your Tuesday so far,"Good, thanks.",8
How is your Friday so far,"Good, thanks.",8
How is your day?,"Good, thanks.",8
How is your Saturday,"Good, thanks.",8
Did you have a good day?,"Good, thanks.",8
Have you been enjoying the day?,"Good, thanks.",8
How is your Thursday so far,"Good, thanks.",8
How is your Monday,"Good, thanks.",8
How's Sunday so far,"Good, thanks.",8
How's your Wednesday going,"Good, thanks.",8
How is Tuesday going,"Good, thanks.",8
How is your Friday,"Good, thanks.",8
How is your day so far,"Good, thanks.",8
How is your day going so far,"Good, thanks.",8
How is your day going,"Good, thanks.",8
How is Wednesday so far,"Good, thanks.",8
How is Wednesday going so far,"Good, thanks.",8
How is Wednesday going,"Good, thanks.",8
How is Wednesday,"Good, thanks.",8
How is your Wednesday going so far,"Good, thanks.",8
How is Tuesday going so far,"Good, thanks.",8
How is Tuesday,"Good, thanks.",8
How is Thursday so far,"Good, thanks.",8
How is Thursday going so far,"Good, thanks.",8
How is Thursday going,"Good, thanks.",8
How is Thursday,"Good, thanks.",8
How is the day going thus far?,"Good, thanks.",8
How is the day going so far?,"Good, thanks.",8
How is Sunday so far,"Good, thanks.",8
How is Sunday going so far,"Good, thanks.",8
How is Sunday going,"Good, thanks.",8
How is Tuesday so far,"Good, thanks.",8
How is your Sunday going,"Good, thanks.",8
"Alright, tell me about your day","Good, thanks.",8
How is your Wednesday,"Good, thanks.",8
How is your Tuesday going so far,"Good, thanks.",8
How is your Tuesday going,"Good, thanks.",8
How is your Tuesday,"Good, thanks.",8
How is your Thursday going so far,"Good, thanks.",8
How is your Thursday going,"Good, thanks.",8
How is your Thursday,"Good, thanks.",8
How is your Friday going,"Good, thanks.",8
How is your Sunday going so far,"Good, thanks.",8
How is your Friday going so far,"Good, thanks.",8
How is your Sunday,"Good, thanks.",8
How is your Saturday so far,"Good, thanks.",8
How is your Saturday going so far,"Good, thanks.",8
How is your Saturday going,"Good, thanks.",8
How is your Monday so far,"Good, thanks.",8
How is your Monday going so far,"Good, thanks.",8
How is your Monday going,"Good, thanks.",8
How is Saturday going so far,"Good, thanks.",8
How is your Sunday so far,"Good, thanks.",8
Did you have a groovy day?,"Good, thanks.",8
How is Sunday,"Good, thanks.",8
Have a good day?,"Good, thanks.",8
Have a fun day?,"Good, thanks.",8
Has it been a swell day?,"Good, thanks.",8
Has it been a super day?,"Good, thanks.",8
Has it been a good day?,"Good, thanks.",8
Give me the details about your day,"Good, thanks.",8
Dude I wanna hear about your day,"Good, thanks.",8
Do me a favor and tell me about your day,"Good, thanks.",8
Dish about your day,"Good, thanks.",8
Having a good day?,"Good, thanks.",8
Did you have a lovely day?,"Good, thanks.",8
How are you doing on this day?,"Good, thanks.",8
Did you have a good day or a bad day?,"Good, thanks.",8
Did you have a fun day?,"Good, thanks.",8
Did you have a decent day?,"Good, thanks.",8
Did you enjoy your day?,"Good, thanks.",8
Did you enjoy the day?,"Good, thanks.",8
Been having a good day?,"Good, thanks.",8
Are you having a good day?,"Good, thanks.",8
Are you having a good day today?,"Good, thanks.",8
Are you having a good day so far?,"Good, thanks.",8
Did you have an okay day?,"Good, thanks.",8
How has your tuesday been?,"Good, thanks.",8
How is your Wednesday so far,"Good, thanks.",8
How is Saturday going,"Good, thanks.",8
How is Saturday,"Good, thanks.",8
How is Monday so far,"Good, thanks.",8
How is Monday going so far,"Good, thanks.",8
How is Monday going,"Good, thanks.",8
How is Monday,"Good, thanks.",8
How is Friday so far,"Good, thanks.",8
How is Friday going so far,"Good, thanks.",8
How is Friday going,"Good, thanks.",8
How has your wednesday been?,"Good, thanks.",8
How is Saturday so far,"Good, thanks.",8
How has your thursday been?,"Good, thanks.",8
How has your sunday been?,"Good, thanks.",8
How has your saturday been?,"Good, thanks.",8
How has your monday been?,"Good, thanks.",8
How has your friday been?,"Good, thanks.",8
How has your day been thus far?,"Good, thanks.",8
How has your day been so far?,"Good, thanks.",8
How has your day been going?,"Good, thanks.",8
How has the day been treating ya?,"Good, thanks.",8
How are you doing today?,"Good, thanks.",8
How is Friday,"Good, thanks.",8
How's your Monday going so far,"Good, thanks.",8
How's your Thursday going,"Good, thanks.",8
How's your Thursday,"Good, thanks.",8
How's your Sunday so far,"Good, thanks.",8
How's your Sunday going so far,"Good, thanks.",8
How's your Sunday going,"Good, thanks.",8
How's your Sunday,"Good, thanks.",8
How's your Saturday so far,"Good, thanks.",8
How's your Saturday going so far,"Good, thanks.",8
How's your Saturday going,"Good, thanks.",8
How is your Wednesday going,"Good, thanks.",8
How's your Monday so far,"Good, thanks.",8
How's your Tuesday,"Good, thanks.",8
How's your Monday going,"Good, thanks.",8
How's your Monday,"Good, thanks.",8
How's your Friday so far,"Good, thanks.",8
How's your Friday going so far,"Good, thanks.",8
How's your Friday going,"Good, thanks.",8
How's your Friday,"Good, thanks.",8
How's your day?,"Good, thanks.",8
How's your day so far,"Good, thanks.",8
How's your day going?,"Good, thanks.",8
How's your day going so far,"Good, thanks.",8
How's your Saturday,"Good, thanks.",8
How's your week going so far,"Good, thanks.",8
You been enjoying the day?,"Good, thanks.",8
You been digging the day?,"Good, thanks.",8
What's going on with your day?,"Good, thanks.",8
What was your day like?,"Good, thanks.",8
What has your day been like?,"Good, thanks.",8
Tell me all about your day,"Good, thanks.",8
Tell me about how your day was?,"Good, thanks.",8
Talk about your day,"Good, thanks.",8
So have you been having a good day?,"Good, thanks.",8
I want the scoop on your day,"Good, thanks.",8
How's your Thursday going so far,"Good, thanks.",8
How's your week so far,"Good, thanks.",8
How's your Thursday so far,"Good, thanks.",8
How's your week going,"Good, thanks.",8
How's your week,"Good, thanks.",8
How's your Wednesday so far,"Good, thanks.",8
How's your Wednesday going so far,"Good, thanks.",8
How's your Wednesday,"Good, thanks.",8
How's your Tuesday so far,"Good, thanks.",8
How's your Tuesday going so far,"Good, thanks.",8
How's your Tuesday going,"Good, thanks.",8
How's Wednesday so far,"Good, thanks.",8
I wanna know all about your day,"Good, thanks.",8
How was your Monday,"Good, thanks.",8
How's your day going,"Good, thanks.",8
How's Friday so far,"Good, thanks.",8
How's Friday going so far,"Good, thanks.",8
How's Friday going,"Good, thanks.",8
How's Friday,"Good, thanks.",8
How was your week,"Good, thanks.",8
How was your Wednesday,"Good, thanks.",8
How was your Tuesday,"Good, thanks.",8
How was your Thursday,"Good, thanks.",8
How was your Sunday,"Good, thanks.",8
How's Monday going,"Good, thanks.",8
How was your Saturday,"Good, thanks.",8
How's Monday going so far,"Good, thanks.",8
How was your Friday,"Good, thanks.",8
How was your day?,"Good, thanks.",8
How was your day so far,"Good, thanks.",8
How was your day,"Good, thanks.",8
How was this lovely day for you then?,"Good, thanks.",8
How was the day for you?,"Good, thanks.",8
How is your week so far,"Good, thanks.",8
How is your week going so far,"Good, thanks.",8
How is your week going,"Good, thanks.",8
How is your week,"Good, thanks.",8
How was your Saturday going,"Good, thanks.",8
How's the day going so far?,"Good, thanks.",8
You enjoying the day?,"Good, thanks.",8
How's Wednesday going so far,"Good, thanks.",8
How's Wednesday going,"Good, thanks.",8
How's Wednesday,"Good, thanks.",8
How's Tuesday so far,"Good, thanks.",8
How's Tuesday going so far,"Good, thanks.",8
How's Tuesday going,"Good, thanks.",8
How's Tuesday,"Good, thanks.",8
How's Thursday so far,"Good, thanks.",8
How's Thursday going so far,"Good, thanks.",8
How's Monday,"Good, thanks.",8
How's Thursday,"Good, thanks.",8
How's your day,"Good, thanks.",8
How's the day been treating you?,"Good, thanks.",8
How's Sunday going so far,"Good, thanks.",8
How's Sunday going,"Good, thanks.",8
How's Sunday,"Good, thanks.",8
How's Saturday so far,"Good, thanks.",8
How's Saturday going so far,"Good, thanks.",8
How's Saturday going,"Good, thanks.",8
How's Saturday,"Good, thanks.",8
How's Monday so far,"Good, thanks.",8
How's Thursday going,"Good, thanks.",8
I'm gonna skedaddle,Goodbye.,9
I'm about to motor now,Goodbye.,9
I'm going to take off now,Goodbye.,9
I'm going to leave,Goodbye.,9
See you later,Goodbye.,9
I'm about to scoot now,Goodbye.,9
I'm going to sign off now,Goodbye.,9
I'm about to jet now,Goodbye.,9
I'm about to log out,Goodbye.,9
I gotta go now,Goodbye.,9
I have to sign out,Goodbye.,9
I have to motor now,Goodbye.,9
I have to run,Goodbye.,9
I have to run now,Goodbye.,9
I have to scoot,Goodbye.,9
I have to scoot now,Goodbye.,9
I gotta sign out now,Goodbye.,9
I have to sign off now,Goodbye.,9
I have to log out,Goodbye.,9
I have to sign out now,Goodbye.,9
I have to skedaddle,Goodbye.,9
I have to skedaddle now,Goodbye.,9
I have to take off,Goodbye.,9
I have to take off now,Goodbye.,9
I must depart,Goodbye.,9
I have to sign off,Goodbye.,9
I have to jet,Goodbye.,9
Adieu,Goodbye.,9
I gotta skedaddle now,Goodbye.,9
I gotta take off,Goodbye.,9
I gotta take off now,Goodbye.,9
I have to get going,Goodbye.,9
I have to get going now,Goodbye.,9
I have to motor,Goodbye.,9
I have to go now,Goodbye.,9
I have to log out now,Goodbye.,9
I have to jet now,Goodbye.,9
I have to leave,Goodbye.,9
I have to leave now,Goodbye.,9
I have to log off,Goodbye.,9
I have to log off now,Goodbye.,9
I need to go,Goodbye.,9
I have to go,Goodbye.,9
I will take my leave of you,Goodbye.,9
I need to get going,Goodbye.,9
I need to sign out,Goodbye.,9
I need to sign out now,Goodbye.,9
I need to skedaddle,Goodbye.,9
I need to skedaddle now,Goodbye.,9
I need to take off,Goodbye.,9
I need to sign off,Goodbye.,9
I should be going,Goodbye.,9
I need to scoot now,Goodbye.,9
I'd better go,Goodbye.,9
I'll chat with you later,Goodbye.,9
I'll talk to you later,Goodbye.,9
I'm about to get going,Goodbye.,9
I'm about to get going now,Goodbye.,9
I'm about to go,Goodbye.,9
I need to take off now,Goodbye.,9
I need to log out,Goodbye.,9
I gotta sign out,Goodbye.,9
I need to go now,Goodbye.,9
I need to jet,Goodbye.,9
I need to jet now,Goodbye.,9
I need to leave,Goodbye.,9
I need to leave now,Goodbye.,9
I need to sign off now,Goodbye.,9
I need to log off now,Goodbye.,9
I need to get going now,Goodbye.,9
I need to log out now,Goodbye.,9
I need to motor,Goodbye.,9
I need to motor now,Goodbye.,9
I need to run,Goodbye.,9
I need to run now,Goodbye.,9
I need to scoot,Goodbye.,9
I need to log off,Goodbye.,9
I am jetting now,Goodbye.,9
Goodbye,Goodbye.,9
Gotta go,Goodbye.,9
I am going,Goodbye.,9
I am going now,Goodbye.,9
I am going to get going,Goodbye.,9
I gotta skedaddle,Goodbye.,9
I am jetting,Goodbye.,9
Farewell,Goodbye.,9
I am leaving,Goodbye.,9
I am leaving now,Goodbye.,9
I am logging off,Goodbye.,9
I am logging off now,Goodbye.,9
I am logging out,Goodbye.,9
I am logging out now,Goodbye.,9
I am going to get going now,Goodbye.,9
Catch you on the flip side,Goodbye.,9
Adios,Goodbye.,9
"Alright, I'm outta here",Goodbye.,9
Buh bye,Goodbye.,9
Bye,Goodbye.,9
Bye bye,Goodbye.,9
Bye dude,Goodbye.,9
Good bye,Goodbye.,9
Catch you later,Goodbye.,9
G2G,Goodbye.,9
Check you later,Goodbye.,9
Ciao,Goodbye.,9
CYA,Goodbye.,9
C-ya,Goodbye.,9
Fare thee well,Goodbye.,9
I am running off,Goodbye.,9
Catch ya later,Goodbye.,9
I gotta motor now,Goodbye.,9
I am motoring,Goodbye.,9
I gotta leave,Goodbye.,9
I gotta leave now,Goodbye.,9
I gotta log off,Goodbye.,9
I gotta log off now,Goodbye.,9
I gotta log out,Goodbye.,9
I gotta jet,Goodbye.,9
I gotta motor,Goodbye.,9
I gotta run,Goodbye.,9
I gotta run now,Goodbye.,9
I gotta scoot,Goodbye.,9
I gotta scoot now,Goodbye.,9
I gotta sign off,Goodbye.,9
I gotta sign off now,Goodbye.,9
I gotta log out now,Goodbye.,9
I am skedaddling,Goodbye.,9
I am running off now,Goodbye.,9
I am scooting,Goodbye.,9
I am scooting now,Goodbye.,9
I am signing off,Goodbye.,9
I am signing off now,Goodbye.,9
I gotta jet now,Goodbye.,9
I am signing out now,Goodbye.,9
I am motoring now,Goodbye.,9
I am skedaddling now,Goodbye.,9
I am taking off,Goodbye.,9
I am taking off now,Goodbye.,9
I gotta get going,Goodbye.,9
I gotta get going now,Goodbye.,9
I gotta go,Goodbye.,9
I am signing out,Goodbye.,9
I'm scooting,Goodbye.,9
I'm off,Goodbye.,9
I'm out,Goodbye.,9
I'm out of here,Goodbye.,9
I'm out the door,Goodbye.,9
I'm outta here,Goodbye.,9
I'm about to go now,Goodbye.,9
I'm running off now,Goodbye.,9
I'm logging out now,Goodbye.,9
I'm scooting now,Goodbye.,9
I'm signing off,Goodbye.,9
I'm signing off now,Goodbye.,9
I'm signing out,Goodbye.,9
I'm signing out now,Goodbye.,9
I'm skedaddling,Goodbye.,9
I'm running off,Goodbye.,9
I'm jetting now,Goodbye.,9
I'm gonna sign off now,Goodbye.,9
I'm gonna sign out,Goodbye.,9
I'm gonna sign out now,Goodbye.,9
I'm gonna skedaddle now,Goodbye.,9
